2026-07-19 09:40:19,580 | INFO | paginator | fetching the Patient from: https://hapi.fhir.org/baseR4/Patient
2026-07-19 09:40:20,279 | INFO | paginator | received 500 records from Patient
2026-07-19 09:40:22,992 | INFO | paginator | received 500 records from Patient
2026-07-19 09:40:25,566 | INFO | paginator | received 500 records from Patient
2026-07-19 09:40:27,814 | INFO | paginator | received 500 records from Patient
2026-07-19 09:40:30,451 | INFO | paginator | received 500 records from Patient
2026-07-19 09:40:32,512 | INFO | paginator | received 500 records from Patient
2026-07-19 09:40:34,445 | INFO | paginator | received 322 records from Patient
2026-07-19 09:40:36,503 | INFO | paginator | fetching the Encounter from: https://hapi.fhir.org/baseR4/Encounter
2026-07-19 09:40:37,088 | INFO | paginator | received 500 records from Encounter
2026-07-19 09:40:39,606 | INFO | paginator | received 500 records from Encounter
2026-07-19 09:40:42,221 | INFO | paginator | received 500 records from Encounter
2026-07-19 09:40:44,137 | INFO | paginator | received 500 records from Encounter
2026-07-19 09:40:46,748 | INFO | paginator | received 500 records from Encounter
2026-07-19 09:40:48,604 | INFO | paginator | received 500 records from Encounter
2026-07-19 09:40:50,638 | INFO | paginator | received 500 records from Encounter
2026-07-19 09:40:52,688 | INFO | paginator | received 500 records from Encounter
2026-07-19 09:40:54,627 | INFO | paginator | received 500 records from Encounter
2026-07-19 09:40:56,670 | INFO | paginator | received 500 records from Encounter
2026-07-19 09:40:58,618 | INFO | paginator | received 500 records from Encounter
2026-07-19 09:41:00,444 | INFO | paginator | received 500 records from Encounter
2026-07-19 09:41:02,559 | INFO | paginator | received 500 records from Encounter
2026-07-19 09:41:04,501 | INFO | paginator | received 500 records from Encounter
2026-07-19 09:41:06,223 | INFO | paginator | received 144 records from Encounter
2026-07-19 09:41:08,333 | INFO | paginator | fetching the Observation from: https://hapi.fhir.org/baseR4/Observation
2026-07-19 09:41:08,793 | INFO | paginator | received 500 records from Observation
2026-07-19 09:41:11,171 | INFO | paginator | received 500 records from Observation
2026-07-19 09:41:13,710 | INFO | paginator | received 500 records from Observation
2026-07-19 09:41:15,669 | INFO | paginator | received 500 records from Observation
2026-07-19 09:41:18,729 | INFO | paginator | received 500 records from Observation
2026-07-19 09:41:20,640 | INFO | paginator | received 500 records from Observation
2026-07-19 09:41:22,808 | INFO | paginator | received 500 records from Observation
2026-07-19 09:41:24,837 | INFO | paginator | received 500 records from Observation
2026-07-19 09:41:27,043 | INFO | paginator | received 500 records from Observation
2026-07-19 09:41:28,939 | INFO | paginator | received 500 records from Observation
2026-07-19 09:41:30,840 | INFO | paginator | received 500 records from Observation
2026-07-19 09:41:32,893 | INFO | paginator | received 500 records from Observation
2026-07-19 09:41:34,914 | INFO | paginator | received 500 records from Observation
2026-07-19 09:41:37,192 | INFO | paginator | received 500 records from Observation
2026-07-19 09:41:39,012 | INFO | paginator | received 500 records from Observation
2026-07-19 09:41:40,878 | INFO | paginator | received 500 records from Observation
2026-07-19 09:41:42,920 | INFO | paginator | received 500 records from Observation
2026-07-19 09:41:45,114 | INFO | paginator | received 500 records from Observation
2026-07-19 09:41:47,262 | INFO | paginator | received 500 records from Observation
2026-07-19 09:41:49,249 | INFO | paginator | received 500 records from Observation
2026-07-19 09:41:51,148 | INFO | paginator | received 500 records from Observation
2026-07-19 09:41:53,105 | INFO | paginator | received 500 records from Observation
2026-07-19 09:41:55,175 | INFO | paginator | received 500 records from Observation
2026-07-19 09:41:57,222 | INFO | paginator | received 500 records from Observation
2026-07-19 09:41:59,424 | INFO | paginator | received 500 records from Observation
2026-07-19 09:42:01,401 | INFO | paginator | received 500 records from Observation
2026-07-19 09:42:03,452 | INFO | paginator | received 500 records from Observation
2026-07-19 09:42:05,524 | INFO | paginator | received 500 records from Observation
2026-07-19 09:42:07,460 | INFO | paginator | received 500 records from Observation
2026-07-19 09:42:09,209 | INFO | paginator | received 500 records from Observation
2026-07-19 09:42:11,044 | INFO | paginator | received 500 records from Observation
2026-07-19 09:42:13,025 | INFO | paginator | received 500 records from Observation
2026-07-19 09:42:15,028 | INFO | paginator | received 500 records from Observation
2026-07-19 09:42:16,975 | INFO | paginator | received 500 records from Observation
2026-07-19 09:42:18,946 | INFO | paginator | received 500 records from Observation
2026-07-19 09:42:20,890 | INFO | paginator | received 500 records from Observation
2026-07-19 09:42:22,933 | INFO | paginator | received 500 records from Observation
